Individual	Region	Longtitude	Latitude	Time	Collected_Time	Collected_Region	Hos_Taxo
M2212SZHXSH744	M2212SZ	113.84	22.78	202212	2022-Winter	SZ	Rattus tanezumi
M2212SZHXSH745	M2212SZ	113.84	22.78	202212	2022-Winter	SZ	Rattus tanezumi
M2212SZHXSH746	M2212SZ	113.84	22.78	202212	2022-Winter	SZ	Rattus tanezumi
M2212SZHXSH747	M2212SZ	113.84	22.78	202212	2022-Winter	SZ	Rattus tanezumi
M2212SZHXSH748	M2212SZ	113.84	22.78	202212	2022-Winter	SZ	Rattus tanezumi
M2212SZHXSH749	M2212SZ	113.76	22.78	202212	2022-Winter	SZ	Rattus tanezumi
M2212SZHXSH750	M2212SZ	113.76	22.78	202212	2022-Winter	SZ	Rattus tanezumi
M2212SZHXSH751	M2212SZ	113.76	22.78	202212	2022-Winter	SZ	Rattus tanezumi
M2212SZHXSH752	M2212SZ	113.84	22.78	202212	2022-Winter	SZ	Rattus tanezumi
M2212SZHXSH753	M2212SZ	113.84	22.78	202212	2022-Winter	SZ	Rattus tanezumi
M2212SZM095	M2212SZ	113.845337	22.766233	202212	2022-Winter	SZ	Rattus tanezumi
M2212SZWDSW731	M2212SZ	113.95	22.81	202212	2022-Winter	SZ	Rattus andamanensis
M2212SZWDSW734	M2212SZ	113.95	22.81	202212	2022-Winter	SZ	Rattus losea
M2212SZWDSW735	M2212SZ	113.95	22.81	202212	2022-Winter	SZ	Rattus andamanensis
M2212SZWDSW736	M2212SZ	113.95	22.81	202212	2022-Winter	SZ	Rattus andamanensis
M2212SZWDSW737	M2212SZ	113.76	22.78	202212	2022-Winter	SZ	Rattus tanezumi
M2212SZXTSW738	M2212SZ	113.76	22.78	202212	2022-Winter	SZ	Mus caroli
M2212YFBCSH581	M2212YF	111.657	22.749	202212	2022-Winter	YF	Bandicota indica
M2212YFBCSH582	M2212YF	111.657	22.749	202212	2022-Winter	YF	Bandicota indica
M2212YFBCSW592	M2212YF	111.657	22.749	202212	2022-Winter	YF	Bandicota indica
M2212YFBCSW593	M2212YF	111.657	22.749	202212	2022-Winter	YF	Bandicota indica
M2212YFBCSW595	M2212YF	111.657	22.749	202212	2022-Winter	YF	Bandicota indica
M2212YFHMSW599	M2212YF	111.657	22.749	202212	2022-Winter	YF	Rattus andamanensis
M2212YFHMSW600	M2212YF	111.657	22.749	202212	2022-Winter	YF	Rattus losea
M2212YFQMSW587	M2212YF	111.657	22.749	202212	2022-Winter	YF	Berylmys sp.
M2212YFShSW588	M2212YF	111.657	22.749	202212	2022-Winter	YF	Niviventer lotipes
M2212YFWDSW606	M2212YF	111.657	22.749	202212	2022-Winter	YF	Rattus andamanensis
M2212YFWDSW607	M2212YF	111.657	22.749	202212	2022-Winter	YF	Rattus andamanensis
M2212YFWDSW609	M2212YF	111.657	22.749	202212	2022-Winter	YF	Rattus andamanensis
M2212YFWDSW614	M2212YF	111.657	22.749	202212	2022-Winter	YF	Rattus andamanensis
M2212YFWDSW615	M2212YF	111.657	22.749	202212	2022-Winter	YF	Rattus andamanensis
M2212YFWDSW616	M2212YF	111.657	22.749	202212	2022-Winter	YF	Rattus andamanensis
M2212YFWDSW617	M2212YF	111.657	22.749	202212	2022-Winter	YF	Rattus andamanensis
M2212YFWDSW619	M2212YF	111.657	22.749	202212	2022-Winter	YF	Rattus andamanensis
M2212YFWDSW620	M2212YF	111.657	22.749	202212	2022-Winter	YF	Rattus andamanensis
M2301APBCSW796	M2301AP	110.031	21.449	202301	2022-Winter	AP	Bandicota indica
M2301APBCSW797	M2301AP	110.031	21.449	202301	2022-Winter	AP	Bandicota indica
M2301APBCSW799	M2301AP	110.031	21.449	202301	2022-Winter	AP	Bandicota indica
M2301APBCSW800	M2301AP	110.031	21.449	202301	2022-Winter	AP	Bandicota indica
M2301APBCSW801	M2301AP	110.031	21.449	202301	2022-Winter	AP	Bandicota indica
M2301APBCSW802	M2301AP	110.031	21.449	202301	2022-Winter	AP	Bandicota indica
M2301APBCSW803	M2301AP	110.031	21.449	202301	2022-Winter	AP	Bandicota indica
M2301APBCSW804	M2301AP	110.031	21.449	202301	2022-Winter	AP	Bandicota indica
M2301APBCSW805	M2301AP	110.031	21.449	202301	2022-Winter	AP	Bandicota indica
M2301APBCSW806	M2301AP	110.133	21.481	202301	2022-Winter	AP	Bandicota indica
M2301APBCSW807	M2301AP	110.133	21.481	202301	2022-Winter	AP	Bandicota indica
M2301APBCSW808	M2301AP	110.133	21.481	202301	2022-Winter	AP	Bandicota indica
M2301APBCSW809	M2301AP	110.133	21.481	202301	2022-Winter	AP	Bandicota indica
M2301APCQJH771	M2301AP	110.15	21.565	202301	2022-Winter	AP	Suncus murinus
M2301APHJSH781	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH782	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH784	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH785	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH786	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH787	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH788	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH789	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH790	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH791	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH792	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH793	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH794	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHJSH795	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHXSH774	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus tanezumi
M2301APHXSH775	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus tanezumi
M2301APHXSH776	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus norvegicus
M2301APHXSH777	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus tanezumi
M2301APHXSH778	M2301AP	110.15	21.565	202301	2022-Winter	AP	Rattus tanezumi
M2301APHXSW779	M2301AP	110.031	21.449	202301	2022-Winter	AP	Rattus tanezumi
M2301ZJBCSW814	M2301ZJ	110.315	20.301	202301	2022-Winter	ZJ	Bandicota indica
M2301ZJBCSW815	M2301ZJ	110.315	20.301	202301	2022-Winter	ZJ	Bandicota indica
M2301ZJBCSW816	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Bandicota indica
M2301ZJBCSW817	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Bandicota indica
M2301ZJBCSW818	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Bandicota indica
M2301ZJBCSW820	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Bandicota indica
M2301ZJCQJH811	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Suncus murinus
M2301ZJHJSH842	M2301ZJ	110.315	20.301	202301	2022-Winter	ZJ	Rattus norvegicus
M2301ZJHJSH843	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus norvegicus
M2301ZJHJSH846	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus norvegicus
M2301ZJHJSH847	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus tanezumi
M2301ZJHJSH848	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus norvegicus
M2301ZJHJSH850	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus tanezumi
M2301ZJHJSH851	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus tanezumi
M2301ZJHMSW083	M2301ZJ	110.315	20.301	202301	2022-Winter	ZJ	Rattus losea
M2301ZJHMSW824	M2301ZJ	110.315	20.301	202301	2022-Winter	ZJ	Rattus losea
M2301ZJHMSW825	M2301ZJ	110.315	20.301	202301	2022-Winter	ZJ	Rattus losea
M2301ZJHMSW826	M2301ZJ	110.315	20.301	202301	2022-Winter	ZJ	Rattus losea
M2301ZJHMSW827	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus losea
M2301ZJHMSW828	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus losea
M2301ZJHMSW829	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus losea
M2301ZJHMSW830	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus losea
M2301ZJHMSW831	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus losea
M2301ZJHMSW854	M2301ZJ	110.315	20.301	202301	2022-Winter	ZJ	Rattus losea
M2301ZJHXSH832	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus tanezumi
M2301ZJHXSH833	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus tanezumi
M2301ZJHXSH834	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus tanezumi
M2301ZJHXSH835	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus norvegicus
M2301ZJHXSH837	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus tanezumi
M2301ZJHXSH838	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus tanezumi
M2301ZJHXSH839	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus tanezumi
M2301ZJHXSH840	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus norvegicus
M2301ZJHXSH841	M2301ZJ	110.277	20.746	202301	2022-Winter	ZJ	Rattus norvegicus
M2201APBCSW100	M2201AP	110.1038889	21.47777778	202201	2021-Winter	AP	Bandicota indica
M2201APXTSW110	M2201AP	110.1347222	21.47888889	202201	2021-Winter	AP	Mus caroli
M2201APXTSW111	M2201AP	110.1347222	21.47888889	202201	2021-Winter	AP	Mus caroli
M2212SGBCSW692	M2212SG	113.545616	24.548937	202212	2022-Winter	SG	Rattus norvegicus
M2212SGBCSW693	M2212SG	113.545616	24.548937	202212	2022-Winter	SG	Rattus norvegicus
M2212SGBCSW696	M2212SG	113.545616	24.548937	202212	2022-Winter	SG	Rattus norvegicus
M2212SGBCSW700	M2212SG	113.545616	24.548937	202212	2022-Winter	SG	Rattus norvegicus
M2212SGBCSW701	M2212SG	113.545616	24.548937	202212	2022-Winter	SG	Bandicota indica
M2212SGHJSH678	M2212SG	113.545616	24.548937	202212	2022-Winter	SG	Rattus norvegicus
M2212SGHJSH682	M2212SG	113.545616	24.548937	202212	2022-Winter	SG	Rattus norvegicus
M2212SGHJSH685	M2212SG	113.545616	24.548937	202212	2022-Winter	SG	Rattus norvegicus
M2212SSBCSW626	M2212SS	112.892	23.446	202212	2022-Winter	SS	Bandicota indica
M2212SZWDSW732	M2212SZ	113.95	22.81	202212	2022-Winter	SZ	Rattus andamanensis
