"","Individual","land_used"
"211","M2204ZJWDSW213",12
"212","M2204ZJQMSW212",12
"213","M2204ZJBCSW233",12
"214","M2204ZJBCSW235",12
"215","M2204ZJHMSW221",12
"216","M2204ZJBCSW237",12
"217","M2204ZJBCSW234",12
"218","M2204ZJBCSW232",12
"219","M2204ZJHMSW220",12
"220","M2204ZJHMSW240",12
"221","M2204ZJHMSW238",12
"222","M2204ZJBCSW236",12
"223","M2204ZJHMSW222",12
"224","M2211ZJHMSW435",12
"225","M2211ZJHXSW431",12
"226","M2211ZJHMSW434",12
"227","M2211ZJHMSW433",12
"228","M2211ZJHXSW432",12
"229","M2211ZJBCSW430",12
"230","M2201ZJHMSW166",11
"231","M2201ZJBCSW157",11
"232","M2201ZJHMSW161",11
"233","M2201ZJHMSW164",11
"234","M2201ZJHMSW165",11
"235","M2201ZJBCSW156",11
"236","M2201ZJBCSW159",11
"237","M2201ZJHMSW167",11
"238","M2201ZJHMSW162",11
"239","M2201ZJHMSW170",11
"240","M2201ZJBCSW153",11
"241","M2201ZJHMSW163",11
"242","M2201ZJBCSW155",11
"243","M2201ZJBCSW154",11
"244","M2201ZJBCSW158",11
"245","M2201ZJBCSW152",11
"246","M2201ZJHMSW169",11
"247","M2206ZJBCSW366",11
"248","M2206ZJBCSW365",11
"249","M2207ZJBCSH860",12
"250","M2207ZJBCSH861",12
"251","M2301ZJHXSH840",12
"252","M2301ZJHXSH841",12
"253","M2301ZJHMSW830",12
"254","M2301ZJHMSW827",12
"255","M2301ZJBCSW820",12
"256","M2301ZJHXSH838",12
"257","M2301ZJHXSH835",12
"258","M2301ZJHMSW831",12
"259","M2301ZJHXSH837",12
"260","M2301ZJBCSW818",12
"261","M2301ZJHJSH851",12
"262","M2301ZJHMSW829",12
"263","M2301ZJHJSH843",12
"264","M2301ZJHXSH833",12
"265","M2301ZJCQJH811",12
"266","M2301ZJHXSH832",12
"267","M2301ZJHJSH848",12
"268","M2301ZJHXSH834",12
"269","M2301ZJHJSH847",12
"270","M2301ZJHJSH850",12
"271","M2301ZJHXSH839",12
"272","M2301ZJBCSW817",12
"273","M2301ZJHMSW828",12
"274","M2301ZJHJSH846",12
"275","M2301ZJBCSW816",12
"276","M2204ZJCQJH207",52
"277","M2204ZJCQJH201",52
"278","M2204ZJCQJH204",52
"279","M2204ZJHXSH193",52
"280","M2204ZJHJSH185",52
"281","M2204ZJCQJH209",52
"282","M2204ZJHXSH194",52
"283","M2204ZJHJSH183",52
"284","M2204ZJCQJH199",52
"285","M2204ZJHXSH189",52
"286","M2204ZJCQJH196",52
"287","M2204ZJCQJH203",52
"288","M2204ZJHXSH191",52
"289","M2204ZJCQJH197",52
"290","M2204ZJHXSH195",52
"291","M2204ZJHJSH184",52
"292","M2204ZJHXSH187",52
"293","M2204ZJHXSH190",52
"294","M2204ZJHXSH188",52
"295","M2204ZJHJSH186",52
"296","M2204ZJHXSH192",52
"297","M2204ZJCQJH206",52
"298","M2204ZJCQJH210",52
"299","M2210ZJHMSW426",12
"300","M2210ZJHMSW425",12
