"Individual","Collected_Time","Collected_Region","Hos_Taxo"
"M2112ZJHXSH147","2021-Winter","ZJ","Rattus tanezumi"
"M2112ZJHXSH148","2021-Winter","ZJ","Rattus tanezumi"
"M2112ZJWDSW116","2021-Winter","ZJ","Rattus andamanensis"
"M2112ZJWDSW117","2021-Winter","ZJ","Rattus andamanensis"
"M2112ZJWDSW118","2021-Winter","ZJ","Rattus andamanensis"
"M2201APBCSW090","2021-Winter","AP","Bandicota indica"
"M2201APBCSW091","2021-Winter","AP","Bandicota indica"
"M2201APBCSW092","2021-Winter","AP","Bandicota indica"
"M2201APBCSW093","2021-Winter","AP","Bandicota indica"
"M2201APBCSW094","2021-Winter","AP","Bandicota indica"
"M2201APBCSW095","2021-Winter","AP","Bandicota indica"
"M2201APBCSW096","2021-Winter","AP","Bandicota indica"
"M2201APBCSW097","2021-Winter","AP","Bandicota indica"
"M2201APBCSW098","2021-Winter","AP","Bandicota indica"
"M2201APBCSW099","2021-Winter","AP","Bandicota indica"
"M2201APBCSW102","2021-Winter","AP","Bandicota indica"
"M2201APBCSW103","2021-Winter","AP","Bandicota indica"
"M2201APBCSW104","2021-Winter","AP","Bandicota indica"
"M2201APCQJH064","2021-Winter","AP","Suncus murinus"
"M2201APCQJH065","2021-Winter","AP","Suncus murinus"
"M2201APCQJH066","2021-Winter","AP","Suncus murinus"
"M2201APCQJH067","2021-Winter","AP","Suncus murinus"
"M2201APCQJH068","2021-Winter","AP","Suncus murinus"
"M2201APCQJH071","2021-Winter","AP","Suncus murinus"
"M2201APCQJH072","2021-Winter","AP","Suncus murinus"
"M2201APCQJH073","2021-Winter","AP","Suncus murinus"
"M2201APCQJH075","2021-Winter","AP","Suncus murinus"
"M2201APCQJH076","2021-Winter","AP","Suncus murinus"
"M2201APCQJH077","2021-Winter","AP","Suncus murinus"
"M2201APCQJH078","2021-Winter","AP","Suncus murinus"
"M2201APHJSH088","2021-Winter","AP","Rattus norvegicus"
"M2201APHJSH089","2021-Winter","AP","Rattus tanezumi"
"M2201APHWSW105","2021-Winter","AP","Berylmys sp."
"M2201APHXSH079","2021-Winter","AP","Rattus tanezumi"
"M2201APHXSH080","2021-Winter","AP","Rattus tanezumi"
"M2201APHXSH081","2021-Winter","AP","Rattus tanezumi"
"M2201APHXSH082","2021-Winter","AP","Rattus tanezumi"
"M2201APHXSH083","2021-Winter","AP","Rattus tanezumi"
"M2201APHXSH084","2021-Winter","AP","Rattus tanezumi"
"M2201APHXSH085","2021-Winter","AP","Rattus tanezumi"
"M2201APHXSH086","2021-Winter","AP","Rattus tanezumi"
"M2201APHXSH087","2021-Winter","AP","Rattus andamanensis"
"M2201APXTSW108","2021-Winter","AP","Mus caroli"
"M2201APXTSW109","2021-Winter","AP","Mus caroli"
"M2201APXTSW112","2021-Winter","AP","Mus caroli"
"M2201APXTSW113","2021-Winter","AP","Mus caroli"
"M2201APXTSW114","2021-Winter","AP","Mus caroli"
"M2201ZJBCSW152","2021-Winter","ZJ","Bandicota indica"
"M2201ZJBCSW153","2021-Winter","ZJ","Bandicota indica"
"M2201ZJBCSW154","2021-Winter","ZJ","Bandicota indica"
"M2201ZJBCSW155","2021-Winter","ZJ","Bandicota indica"
"M2201ZJBCSW156","2021-Winter","ZJ","Bandicota indica"
"M2201ZJBCSW157","2021-Winter","ZJ","Bandicota indica"
"M2201ZJBCSW158","2021-Winter","ZJ","Bandicota indica"
"M2201ZJBCSW159","2021-Winter","ZJ","Bandicota indica"
"M2201ZJHJSH174","2021-Winter","ZJ","Rattus norvegicus"
"M2201ZJHJSH175","2021-Winter","ZJ","Rattus norvegicus"
"M2201ZJHJSH176","2021-Winter","ZJ","Rattus norvegicus"
"M2201ZJHJSH177","2021-Winter","ZJ","Rattus tanezumi"
"M2201ZJHJSH179","2021-Winter","ZJ","Rattus tanezumi"
"M2201ZJHMSW161","2021-Winter","ZJ","Rattus losea"
"M2201ZJHMSW162","2021-Winter","ZJ","Rattus losea"
"M2201ZJHMSW163","2021-Winter","ZJ","Rattus losea"
"M2201ZJHMSW164","2021-Winter","ZJ","Rattus losea"
"M2201ZJHMSW165","2021-Winter","ZJ","Rattus losea"
"M2201ZJHMSW166","2021-Winter","ZJ","Rattus losea"
"M2201ZJHMSW167","2021-Winter","ZJ","Rattus losea"
"M2201ZJHMSW169","2021-Winter","ZJ","Rattus losea"
"M2201ZJHMSW170","2021-Winter","ZJ","Rattus losea"
"M2201ZJHXSH180","2021-Winter","ZJ","Rattus tanezumi"
"M2201ZJHXSH181","2021-Winter","ZJ","Rattus tanezumi"
"M2204APBCSW278","2022-Spring","AP","Bandicota indica"
"M2204APBCSW279","2022-Spring","AP","Bandicota indica"
"M2204APBCSW280","2022-Spring","AP","Bandicota indica"
"M2204APBCSW281","2022-Spring","AP","Bandicota indica"
"M2204APBCSW282","2022-Spring","AP","Rattus tanezumi"
"M2204APBCSW283","2022-Spring","AP","Bandicota indica"
"M2204APBCSW284","2022-Spring","AP","Bandicota indica"
"M2204APBCSW285","2022-Spring","AP","Bandicota indica"
"M2204APBCSW286","2022-Spring","AP","Rattus tanezumi"
"M2204APBCSW287","2022-Spring","AP","Rattus tanezumi"
"M2204APBCSW288","2022-Spring","AP","Bandicota indica"
"M2204APBCSW289","2022-Spring","AP","Bandicota indica"
"M2204APBCSW290","2022-Spring","AP","Bandicota indica"
"M2204APBCSW291","2022-Spring","AP","Bandicota indica"
"M2204APBCSW292","2022-Spring","AP","Bandicota indica"
"M2204APCQJH241","2022-Spring","AP","Suncus murinus"
"M2204APCQJH242","2022-Spring","AP","Suncus murinus"
"M2204APCQJH243","2022-Spring","AP","Suncus murinus"
"M2204APCQJH245","2022-Spring","AP","Suncus murinus"
"M2204APCQJH246","2022-Spring","AP","Suncus murinus"
"M2204APCQJH247","2022-Spring","AP","Rattus norvegicus"
"M2204APCQJH248","2022-Spring","AP","Rattus norvegicus"
"M2204APCQJH249","2022-Spring","AP","Suncus murinus"
"M2204APCQJH250","2022-Spring","AP","Suncus murinus"
"M2204APCQJH251","2022-Spring","AP","Suncus murinus"
"M2204APCQJH252","2022-Spring","AP","Suncus murinus"
"M2204APHJSH253","2022-Spring","AP","Bandicota indica"
"M2204APHJSH254","2022-Spring","AP","Rattus norvegicus"
"M2204APHJSH255","2022-Spring","AP","Rattus norvegicus"
"M2204APHJSH256","2022-Spring","AP","Rattus norvegicus"
"M2204APHJSH257","2022-Spring","AP","Rattus norvegicus"
"M2204APHJSH259","2022-Spring","AP","Rattus norvegicus"
"M2204APHJSH261","2022-Spring","AP","Rattus norvegicus"
"M2204APHJSH262","2022-Spring","AP","Rattus norvegicus"
"M2204APHJSH263","2022-Spring","AP","Rattus norvegicus"
"M2204APHJSH264","2022-Spring","AP","Rattus norvegicus"
"M2204APHMSW293","2022-Spring","AP","Bandicota indica"
"M2204APHMSW294","2022-Spring","AP","Bandicota indica"
"M2204APHMSW295","2022-Spring","AP","Rattus losea"
"M2204APHMSW296","2022-Spring","AP","Rattus losea"
"M2204APHMSW297","2022-Spring","AP","Bandicota indica"
"M2204APHXSH266","2022-Spring","AP","Rattus tanezumi"
"M2204APHXSH267","2022-Spring","AP","Rattus tanezumi"
"M2204APHXSH268","2022-Spring","AP","Rattus tanezumi"
"M2204APHXSH269","2022-Spring","AP","Rattus tanezumi"
"M2204APHXSH270","2022-Spring","AP","Bandicota indica"
"M2204APHXSH271","2022-Spring","AP","Rattus norvegicus"
"M2204APHXSH272","2022-Spring","AP","Rattus losea"
"M2204APHXSH273","2022-Spring","AP","Rattus losea"
"M2204APHXSH274","2022-Spring","AP","Rattus losea"
"M2204APHXSH275","2022-Spring","AP","Rattus tanezumi"
"M2204APHXSH276","2022-Spring","AP","Rattus norvegicus"
"M2204APHXSH277","2022-Spring","AP","Rattus norvegicus"
"M2204APXTSW298","2022-Spring","AP","Suncus murinus"
"M2204ZJBCSW223","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW224","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW225","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW227","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW228","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW229","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW230","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW231","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW232","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW233","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW234","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW235","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW236","2022-Spring","ZJ","Bandicota indica"
"M2204ZJBCSW237","2022-Spring","ZJ","Bandicota indica"
"M2204ZJCQJH196","2022-Spring","ZJ","Suncus murinus"
"M2204ZJCQJH197","2022-Spring","ZJ","Suncus murinus"
"M2204ZJCQJH199","2022-Spring","ZJ","Suncus murinus"
"M2204ZJCQJH201","2022-Spring","ZJ","Suncus murinus"
"M2204ZJCQJH203","2022-Spring","ZJ","Suncus murinus"
"M2204ZJCQJH204","2022-Spring","ZJ","Suncus murinus"
"M2204ZJCQJH206","2022-Spring","ZJ","Suncus murinus"
"M2204ZJCQJH207","2022-Spring","ZJ","Suncus murinus"
"M2204ZJCQJH209","2022-Spring","ZJ","Suncus murinus"
"M2204ZJCQJH210","2022-Spring","ZJ","Suncus murinus"
"M2204ZJHJSH183","2022-Spring","ZJ","Rattus norvegicus"
"M2204ZJHJSH184","2022-Spring","ZJ","Rattus norvegicus"
"M2204ZJHJSH185","2022-Spring","ZJ","Rattus norvegicus"
"M2204ZJHJSH186","2022-Spring","ZJ","Rattus norvegicus"
"M2204ZJHJSW211","2022-Spring","ZJ","Rattus norvegicus"
"M2204ZJHMSW214","2022-Spring","ZJ","Rattus losea"
"M2204ZJHMSW215","2022-Spring","ZJ","Rattus losea"
"M2204ZJHMSW216","2022-Spring","ZJ","Rattus losea"
"M2204ZJHMSW217","2022-Spring","ZJ","Rattus losea"
"M2204ZJHMSW219","2022-Spring","ZJ","Rattus losea"
"M2204ZJHMSW220","2022-Spring","ZJ","Rattus losea"
"M2204ZJHMSW221","2022-Spring","ZJ","Rattus losea"
"M2204ZJHMSW222","2022-Spring","ZJ","Rattus losea"
"M2204ZJHMSW238","2022-Spring","ZJ","Rattus losea"
"M2204ZJHMSW239","2022-Spring","ZJ","Rattus losea"
"M2204ZJHMSW240","2022-Spring","ZJ","Rattus losea"
"M2204ZJHXSH187","2022-Spring","ZJ","Rattus tanezumi"
"M2204ZJHXSH188","2022-Spring","ZJ","Rattus tanezumi"
"M2204ZJHXSH189","2022-Spring","ZJ","Rattus tanezumi"
"M2204ZJHXSH190","2022-Spring","ZJ","Rattus tanezumi"
"M2204ZJHXSH191","2022-Spring","ZJ","Rattus tanezumi"
"M2204ZJHXSH192","2022-Spring","ZJ","Rattus tanezumi"
"M2204ZJHXSH193","2022-Spring","ZJ","Rattus tanezumi"
"M2204ZJHXSH194","2022-Spring","ZJ","Rattus tanezumi"
"M2204ZJHXSH195","2022-Spring","ZJ","Rattus tanezumi"
"M2204ZJQMSW212","2022-Spring","ZJ","Berylmys sp."
"M2204ZJWDSW213","2022-Spring","ZJ","Rattus andamanensis"
"M2206APBCSW299","2022-Summer","AP","Bandicota indica"
"M2206APBCSW300","2022-Summer","AP","Bandicota indica"
"M2206APBCSW301","2022-Summer","AP","Bandicota indica"
"M2206APBCSW302","2022-Summer","AP","Bandicota indica"
"M2206APBCSW303","2022-Summer","AP","Bandicota indica"
"M2206APBCSW304","2022-Summer","AP","Bandicota indica"
"M2206APBCSW305","2022-Summer","AP","Bandicota indica"
