Longtitude	Latitude	Time	aet	def	swe	q	soil	PDSI	pet	ppt	srad	tmax	tmin	vap	vpd	ws	NIR	red	NDVI	Mammal_richness	land_used
110.2927778	21.3125	202210	115.4	21.1	0	4.2	85.3	-1.76	136.5	83.6	218.8	27.8	21.1	2.002	1.13	2.9	27891235.35	7262579.956	0.586811281	54	12
110.2938889	21.25583333	202211	58.3	23.2	0	1.8	64.7	-1.69	81.6	35.2	140.9	27	20.1	2.262	0.71	2.3	31452626.95	9046793.213	0.553238383	54	52
110.3088889	21.685	202204	81.9	28.5	0	3	56.7	-2.06	110.4	59.6	216	25.7	19.7	2.115	0.7	1.9	29263256.84	9558446.655	0.507572013	57	11
110.3094444	21.26861111	202112	49.5	35.5	0	1.2	41.4	-2.04	85	24.9	148.3	21.1	14.2	1.303	0.76	2.5	23797043.46	9725974.121	0.419743518	54	12
110.3102778	21.26972222	202206	137.4	0	0	53.4	122.9	-1.83	137.4	190.8	236.3	31.6	26.1	3.171	0.87	2.6	28498981.93	9750239.868	0.490173164	54	12
110.315	20.301	202301	49.9	24.8	0	1.5	70.2	1.73	74.7	29	136.2	19.5	14.4	1.454	0.51	3.1	26201320.8	5063454.895	0.676092038	54	22
110.3169444	21.3025	202210	115.4	21.1	0	4.2	85.3	-1.76	136.5	83.6	218.8	27.8	21.1	2.002	1.13	2.9	29198032.23	5295589.6	0.692952533	54	24
110.32	21.31	202207	152.4	0	0	123.3	122	-1.44	152.4	275.7	242.9	32.6	26.7	3.279	0.96	2.6	36612927.25	14907480.47	0.42129804	54	21
110.3225	21.2675	202211	58.3	23.2	0	1.8	64.7	-1.69	81.6	35.2	140.9	27	20.1	2.262	0.71	2.3	23362595.21	11758393.55	0.330406463	54	51
110.3230556	21.27083333	202112	49.5	35.5	0	1.2	41.4	-2.04	85	24.9	148.3	21.1	14.2	1.303	0.76	2.5	22498310.55	11187380.37	0.335778482	54	51
110.3233333	21.27083333	202112	49.5	35.5	0	1.2	41.4	-2.04	85	24.9	148.3	21.1	14.2	1.303	0.76	2.5	22498310.55	11187380.37	0.335778482	54	51
110.3236111	21.27083333	202112	49.5	35.5	0	1.2	41.4	-2.04	85	24.9	148.3	21.1	14.2	1.303	0.76	2.5	22498310.55	11187380.37	0.335778482	54	51
110.325	21.27083333	202112	49.5	35.5	0	1.2	41.4	-2.04	85	24.9	148.3	21.1	14.2	1.303	0.76	2.5	22498310.55	11187380.37	0.335778482	54	51
110.3252778	21.27083333	202112	49.5	35.5	0	1.2	41.4	-2.04	85	24.9	148.3	21.1	14.2	1.303	0.76	2.5	22498310.55	11187380.37	0.335778482	54	51
110.3255556	21.27083333	202112	49.5	35.5	0	1.2	41.4	-2.04	85	24.9	148.3	21.1	14.2	1.303	0.76	2.5	22498310.55	11187380.37	0.335778482	54	51
110.3258333	21.27083333	202112	49.5	35.5	0	1.2	41.4	-2.04	85	24.9	148.3	21.1	14.2	1.303	0.76	2.5	22498310.55	11187380.37	0.335778482	54	51
110.3261111	21.27083333	202112	49.5	35.5	0	1.2	41.4	-2.04	85	24.9	148.3	21.1	14.2	1.303	0.76	2.5	23267729.49	11320502.93	0.345413042	54	51
110.3263889	21.27083333	202112	49.5	35.5	0	1.2	41.4	-2.04	85	24.9	148.3	21.1	14.2	1.303	0.76	2.5	23267729.49	11320502.93	0.345413042	54	51
110.3291667	21.24944444	202201	34.4	30.3	0	1.2	29.7	-2.04	64.7	23.7	134.9	20.2	14.7	1.605	0.42	2.9	18649057.62	6922474.365	0.458579613	54	52
110.3294444	21.24888889	202210	115.6	20.4	0	4.2	88.7	-1.58	136	84.8	217.2	27.8	21.3	2.021	1.13	2.9	25414702.15	8186018.677	0.512747437	54	52
110.3297222	21.29083333	202112	49.5	35.5	0	1.2	41.4	-2.04	85	24.9	148.3	21.1	14.2	1.303	0.76	2.5	24724277.34	7751611.938	0.522623576	54	24
110.3341667	21.2875	202206	137.4	0	0	58.7	122.9	-1.91	137.4	196.1	236.5	31.5	26.1	3.186	0.84	2.8	30215778.81	7717195.435	0.593114139	54	12
110.3347222	21.62194444	202204	80.4	29.9	0	2.9	49.9	-1.92	110.3	58.5	215.6	25.7	19.8	2.126	0.69	1.9	28377255.86	6860900.879	0.610598197	54	23
110.3383333	21.30222222	202206	140	0	0	51.3	121.9	-1.9	140	191.3	237	31.8	26.1	3.186	0.88	3	37544206.54	7463070.068	0.668361624	54	52
110.3447222	21.27555556	202210	115.2	20.7	0	4.2	87.5	-1.67	135.9	83.9	217.3	27.8	21.3	2.021	1.13	2.9	18901645.51	7254713.135	0.445281109	54	51
110.3491667	21.27583333	202211	57.9	24.3	0	1.7	62.2	-1.68	82.3	34.4	142.2	27	20.1	2.273	0.7	2.4	26162150.88	10036063.23	0.445494012	54	51
110.351769	21.2817	202210	115.2	20.7	0	4.2	87.5	-1.67	135.9	83.9	217.3	27.8	21.3	2.021	1.13	2.9	17146319.58	7622627.563	0.384501285	54	12
111.02	21.52	202112	55.6	36.9	0	1.3	56	-1.6	92.5	26.8	150.6	21.7	13.8	1.328	0.77	3.3	15817685.55	10192482.91	0.216269366	57	45
111.04	21.63	202112	52.1	35	0	1.1	62.7	-1.95	87	22.7	150	21.6	13.4	1.299	0.77	2.7	27801293.95	6981746.216	0.598554572	57	52
111.657	22.749	202212	32.5	41.6	0	0.4	46.2	0.85	74.1	8.8	143.3	17.6	9	0.966	0.62	2	28184365.23	8781574.707	0.524882921	65	52
112.892	23.446	202212	43	36.2	0	0.4	61.3	-1.63	79.2	7.2	125.7	17.7	9.2	0.895	0.7	2.5	22235627.44	8578687.134	0.443201171	68	11
113.545616	24.548937	202212	38.1	28.5	0	0.5	67.7	-2.31	66.6	9.1	118.3	15.4	6.2	0.808	0.55	2.2	29198872.07	8799809.57	0.536836059	73	21
113.76	22.78	202212	60.4	33.7	0	0.8	72.6	1.45	94.1	15.2	119.4	18.3	10.5	0.985	0.71	4.3	15601588.13	9793038.33	0.228731453	67	51
113.84	22.78	202212	57.9	30.1	0	0.7	83	1.45	88	13.5	120.2	18	10.1	0.984	0.67	3.8	16510227.05	8089475.708	0.342311101	67	51
113.841139	22.748899	202212	57.6	30.7	0	0.7	79.4	1.46	88.3	14.2	120.7	17.9	10.1	0.984	0.67	3.9	16431418.46	9781378.784	0.253694393	67	51
113.845337	22.766233	202207	147.9	0	0	171.5	140	1.99	147.9	319.4	226.6	33.3	26.5	3.198	1.11	2.5	18064053.96	11252257.08	0.232355185	67	51
113.845337	22.766233	202212	57.9	30.1	0	0.7	83	1.45	88	13.5	120.2	18	10.1	0.984	0.67	3.8	14537285.16	9023943.481	0.234000602	67	51
113.846419	22.768503	202212	57.9	30.1	0	0.7	83	1.45	88	13.5	120.2	18	10.1	0.984	0.67	3.8	15326855.47	9053101.196	0.257332462	67	51
113.896422	22.803959	202212	57.6	29.3	0	0.6	88	1.4	86.8	12.8	118.9	17.9	9.8	0.968	0.67	3.7	17714410.4	9768255.005	0.28913336	67	51
113.938984	22.794164	202212	55.9	28.3	0	0.6	90.8	1.37	84.2	12.4	119.2	17.8	9.8	0.968	0.66	3.4	19781101.07	9983460.693	0.32917133	67	51
113.939858	22.79572	202212	55.9	28.3	0	0.6	90.8	1.37	84.2	12.4	119.2	17.8	9.8	0.968	0.66	3.4	19781101.07	9983460.693	0.32917133	67	51
113.9458	22.7993	202211	62.8	0	0	7.8	135	1.34	62.8	156.9	95.4	26.5	18.3	2.238	0.56	2	20596608.89	8744485.474	0.403942786	67	21
113.95	22.81	202212	55.9	28.3	0	0.6	90.8	1.37	84.2	12.4	119.2	17.8	9.8	0.968	0.66	3.4	23088535.16	8002102.051	0.485240396	67	12
115.02	23.36	202209	98.8	42.6	0	1.4	94.2	-1.5	141.3	27	231.5	31.8	24.5	2.41	1.5	1.9	38769938.96	4913903.198	0.775024222	62	21
115.11	23.55	202209	94.8	45.9	0	0.8	77.4	-1.93	140.7	16.8	233.5	31.8	24.1	2.365	1.51	1.8	35769995.12	5305706.787	0.741662027	62	21
115.35	23.72	202209	93.8	46	0	0.8	64.3	-2.03	139.9	15.5	235.3	31	23.3	2.296	1.4	1.9	37102451.17	7686635.742	0.656763008	62	11
115.36	23.72	202209	93.8	46	0	0.8	64.3	-2.03	139.9	15.5	235.3	31	23.3	2.296	1.4	1.9	36312817.38	6967006.836	0.678048284	62	12
115.37	23.72	202209	93.8	46	0	0.8	64.3	-2.03	139.9	15.5	235.3	31	23.3	2.296	1.4	1.9	35707797.85	5611723.633	0.72837422	62	23
115.38	23.72	202209	92.8	45.8	0	0.7	63.7	-1.97	138.7	14.8	236.5	30.5	22.9	2.245	1.35	1.9	35767197.27	4599859.619	0.772098341	62	21
115.39	23.72	202209	92.8	45.8	0	0.7	63.7	-1.97	138.7	14.8	236.5	30.5	22.9	2.245	1.35	1.9	36032226.56	4447628.479	0.780254723	62	21
115.4	23.72	202209	92.8	45.8	0	0.7	63.7	-1.97	138.7	14.8	236.5	30.5	22.9	2.245	1.35	1.9	37178156.74	5116256.104	0.758064682	62	21
115.41	23.72	202209	92.8	45.8	0	0.7	63.7	-1.97	138.7	14.8	236.5	30.5	22.9	2.245	1.35	1.9	41351660.16	3502667.847	0.843820295	61	21
115.42	23.72	202209	92.2	46.2	0	0.7	62.2	-1.96	138.4	13.6	237.6	30.4	22.9	2.251	1.33	1.9	41614072.27	4160421.448	0.818220974	61	12
115.43	23.72	202209	92.2	46.2	0	0.7	62.2	-1.96	138.4	13.6	237.6	30.4	22.9	2.251	1.33	1.9	39332661.13	5822902.832	0.742095887	61	21
115.44	23.72	202209	92.2	46.2	0	0.7	62.2	-1.96	138.4	13.6	237.6	30.4	22.9	2.251	1.33	1.9	39075932.62	4022235.107	0.813345424	61	21
115.45	23.72	202209	92.2	46.2	0	0.7	62.2	-1.96	138.4	13.6	237.6	30.4	22.9	2.251	1.33	1.9	37963232.42	3501355.591	0.831115863	61	21
116.27	23.44	202209	100.9	47.9	0	1	61.7	-1.22	148.8	19.5	246.9	31.2	24.6	2.497	1.34	2.3	34164707.03	4747910.767	0.755970632	62	21
116.27	23.57	202209	101	48.3	0	0.9	62.9	-1.35	149.3	18.9	247.3	31.8	24.9	2.52	1.43	2.1	28238461.91	10761514.89	0.448127113	62	12
116.41	23.57	202209	101.4	47.5	0	1	61.6	-1.35	148.9	20.9	244.6	31.6	24.7	2.547	1.35	2.3	20112862.55	11014667.97	0.292287709	62	51
116.42	23.57	202209	101.3	47	0	1.1	61.4	-1.79	148.3	21.5	244.2	31.5	24.8	2.562	1.33	2.3	22812053.22	12559237.06	0.289862656	62	12
116.42	23.58	202209	101.3	47	0	1.1	61.4	-1.79	148.3	21.5	244.2	31.5	24.8	2.562	1.33	2.3	21089174.8	11694525.15	0.286564655	62	52
116.43	23.57	202209	101.3	47	0	1.1	61.4	-1.79	148.3	21.5	244.2	31.5	24.8	2.562	1.33	2.3	24033671.88	15200627.44	0.225135776	62	51
116.47	23.58	202209	101.6	47.1	0	1.1	60.3	-1.94	148.7	21.7	247.7	31.6	24.8	2.568	1.34	2.2	29008198.24	10786666.26	0.457886519	62	11
