species	family	Type	Host_Type
Rodent astrovirus 1	Astroviridae	RNA_Virus	Mammal-related
Rodent astrovirus 2	Astroviridae	RNA_Virus	Mammal-related
Guangdong Bandicota indica astrovirus	Astroviridae	RNA_Virus	Mammal-related
Rodent astrovirus 3	Astroviridae	RNA_Virus	Mammal-related
Guangdong permutotetra-like-virus 1	Permutotetraviridae	RNA_Virus	Mammal-unrelated
Norway rat pestivirus	Flaviviridae	RNA_Virus	Mammal-related
Rodent pegivirus	Flaviviridae	RNA_Virus	Mammal-related
Rodent pegivirus	Flaviviridae	RNA_Virus	Mammal-related
Wenzhou Apodemus agrarius hepacivirus 1	Flaviviridae	RNA_Virus	Mammal-related
Rodent coronavirus	Coronaviridae	RNA_Virus	Mammal-related
Betacoronavirus 1	Coronaviridae	RNA_Virus	Mammal-related
Guangdong Rattus norvegicus arterivirus virus	Arteriviridae	RNA_Virus	Mammal-related
Guangdong Rattus norvegicus arterivirus virus 2	Arteriviridae	RNA_Virus	Mammal-related
Guangdong Bandicota indica arterivirus virus	Arteriviridae	RNA_Virus	Mammal-related
Guangdong rodent arterivirus 1	Arteriviridae	RNA_Virus	Mammal-related
Guangdong rodent arterivirus 2	Arteriviridae	RNA_Virus	Mammal-related
Guangdong toti-like virus 1	Totiviridae	RNA_Virus	Mammal-unrelated
Guangdong toti-like virus 2	Totiviridae	RNA_Virus	Mammal-unrelated
Guangdong toti-like virus 3	Totiviridae	RNA_Virus	Mammal-unrelated
Guangdong toti-like virus 4	Totiviridae	RNA_Virus	Mammal-unrelated
Guangdong toti-like virus 5	Totiviridae	RNA_Virus	Mammal-unrelated
Tomato brown rugose fruit virus	Virgaviridae	RNA_Virus	Mammal-unrelated
Zhejiang betaflexivirus 1	Betaflexiviridae	RNA_Virus	Mammal-unrelated
Sweet potato chlorotic fleck virus	Betaflexiviridae	RNA_Virus	Mammal-unrelated
Rat hepatitis E virus	Hepeviridae	RNA_Virus	Mammal-related
Rat hepatitis E virus	Hepeviridae	RNA_Virus	Mammal-related
Bastrovirus Rat	Astroviridae	RNA_Virus	Mammal-unrelated
Guangdong bastrovirus	Astroviridae	RNA_Virus	Mammal-unrelated
Guangdong rodent orbivirus	Sedoreoviridae	RNA_Virus	Mammal-related
Guangdong rodent orbivirus	Sedoreoviridae	RNA_Virus	Mammal-related
Guangdong Sobemo-like virus	Solemoviridae	RNA_Virus	Mammal-unrelated
Beilong virus	Paramyxoviridae	RNA_Virus	Mammal-related
Guangdong mono-like virus	Mononegavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong narna-like virus 1	Narnaviridae	RNA_Virus	Mammal-unrelated
Guangdong narna-like virus 2	Narnaviridae	RNA_Virus	Mammal-unrelated
Guangdong narna-like virus 3	Narnaviridae	RNA_Virus	Mammal-unrelated
Guangdong narna-like virus 4	Narnaviridae	RNA_Virus	Mammal-unrelated
Guangdong narna-like virus 5	Narnaviridae	RNA_Virus	Mammal-unrelated
Guangdong narna-like virus 6	Narnaviridae	RNA_Virus	Mammal-unrelated
Guangdong mito-like virus 1	Mitoviridae	RNA_Virus	Mammal-unrelated
Guangdong mito-like virus 2	Mitoviridae	RNA_Virus	Mammal-unrelated
Guangdong mito-like virus 3	Mitoviridae	RNA_Virus	Mammal-unrelated
Guangdong mito-like virus 4	Mitoviridae	RNA_Virus	Mammal-unrelated
Guangdong mito-like virus 5	Mitoviridae	RNA_Virus	Mammal-unrelated
Guangdong mito-like virus 6	Mitoviridae	RNA_Virus	Mammal-unrelated
Guangdong mito-like virus 7	Mitoviridae	RNA_Virus	Mammal-unrelated
Guangdong mito-like virus 8	Mitoviridae	RNA_Virus	Mammal-unrelated
Guangdong mito-like virus 9	Mitoviridae	RNA_Virus	Mammal-unrelated
Guangdong mito-like virus 10	Mitoviridae	RNA_Virus	Mammal-unrelated
Guangdong mito-like virus 11	Mitoviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 1	Blumeviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 2	Fiersviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 3	Fiersviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 4	Blumeviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 5	Blumeviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 6	Blumeviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 7	Blumeviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 8	Fiersviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 9	Fiersviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 10	Fiersviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 11	Fiersviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 12	Fiersviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 13	Fiersviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 14	Fiersviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 15	Fiersviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 16	Fiersviridae	RNA_Virus	Mammal-unrelated
Guangdong levi-like virus 17	Fiersviridae	RNA_Virus	Mammal-unrelated
Guangdong phenuiviridae-like virus	Phenuiviridae	RNA_Virus	Mammal-unrelated
Wnezhou virus	Arenaviridae	RNA_Virus	Mammal-related
Guangdong bunya-like virus 2	Bunyavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong bunya-like virus 1	Bunyavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong bunya-like virus 4	Bunyavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong bunya-like virus 3	Bunyavirales_Unclassified	RNA_Virus	Mammal-unrelated
Orthohantavirus seoulense	Hantaviridae	RNA_Virus	Mammal-related
Guangdong tombus-like virus 1	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 2	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 3	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 4	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 5	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 6	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 7	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 8	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 9	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 10	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 11	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 12	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 13	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 14	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 15	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 16	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 17	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong tombus-like virus 18	Tombusviridae	RNA_Virus	Mammal-unrelated
Guangdong noda-like virus 1	Nodaviridae	RNA_Virus	Mammal-unrelated
Guangdong noda-like virus 2	Nodaviridae	RNA_Virus	Mammal-unrelated
Guangdong noda-like virus 3	Nodaviridae	RNA_Virus	Mammal-unrelated
Guangdong noda-like virus 4	Nodaviridae	RNA_Virus	Mammal-unrelated
Guangdong noda-like virus 5	Nodaviridae	RNA_Virus	Mammal-unrelated
Guangdong noda-like virus 6	Nodaviridae	RNA_Virus	Mammal-unrelated
Guangdong noda-like virus 7	Nodaviridae	RNA_Virus	Mammal-unrelated
