land,sp_effect,se,mean,bar
Bandicota indica,0.404054532027589,0.120167329899478,0.404054532027589,0.235527966602976
Rattus andamanensis,-0.22982552,0.454191612335133,-0.22982552,0.890215560176861
Rattus losea,-0.699419713,0.248179939002583,-0.699419713,0.486432680445062
Rattus norvegicus,0.511706440535022,0.105436538221446,0.511706440535022,0.206655614914034
Rattus tanezumi,-0.224053766,0.161520445476429,-0.224053766,0.316580073133801
Suncus murinus,-1.060802071,0.293835854052472,-1.060802071,0.575918273942846
