"","Library","Shannon","Richness","Type","Tissue"
"4463","M2301APQMSW780CX100",0,0,"Bacteria","Gut"
"4464","M2301APQMSW780CX100",0,1,"DNA virus","Gut"
"4465","M2301APQMSW780FX100",0,0,"Eukaryote","Lung"
"4466","M2301APQMSW780FX100",0,0,"RNA virus","Lung"
"4467","M2301APQMSW780FX100",0,0,"Bacteria","Lung"
"4468","M2301APQMSW780FX100",0,1,"DNA virus","Lung"
"4469","M2301ZJBCSW814CX100",0,1,"RNA virus","Gut"
"4470","M2301ZJBCSW814CX100",0,0,"DNA virus","Gut"
"4471","M2301ZJBCSW814CX100",0,0,"Eukaryote","Gut"
"4472","M2301ZJBCSW814CX100",0,0,"Bacteria","Gut"
"4473","M2301ZJBCSW814FX100",0,0,"Bacteria","Lung"
"4474","M2301ZJBCSW814FX100",0,0,"DNA virus","Lung"
"4475","M2301ZJBCSW814FX100",0.685063386765708,2,"RNA virus","Lung"
"4476","M2301ZJBCSW814FX100",0,0,"Eukaryote","Lung"
"4477","M2301ZJBCSW814PX100",0,0,"Bacteria","Spleen"
"4478","M2301ZJBCSW814PX100",0,0,"Eukaryote","Spleen"
"4479","M2301ZJBCSW814PX100",0,1,"RNA virus","Spleen"
"4480","M2301ZJBCSW814PX100",0,1,"DNA virus","Spleen"
"4481","M2301ZJBCSW815CX100",0,1,"Bacteria","Gut"
"4482","M2301ZJBCSW815CX100",0,1,"RNA virus","Gut"
"4483","M2301ZJBCSW815CX100",0,0,"Eukaryote","Gut"
"4484","M2301ZJBCSW815CX100",0,0,"DNA virus","Gut"
"4485","M2301ZJBCSW815FX100",0,0,"Bacteria","Lung"
"4486","M2301ZJBCSW815FX100",0.0179199883804186,2,"RNA virus","Lung"
"4487","M2301ZJBCSW815FX100",0,0,"DNA virus","Lung"
"4488","M2301ZJBCSW815FX100",0,1,"Eukaryote","Lung"
"4489","M2301ZJBCSW815PX100",0,0,"Eukaryote","Spleen"
