land,sp_effect,se,mean,bar
Anpu,-0.149772641,0.155428254302284,-0.149772641,0.304639378432476
Foshan,-0.046021015,0.505250512538694,-0.046021015,0.990291004575841
Heyuan,0.772208706248186,0.48292793167584,0.772208706248186,0.946538746084647
Jieyang,0.881497500996248,0.474854201685518,0.881497500996248,0.930714235303616
Maoming,0.788321051385186,0.174986345076526,0.788321051385186,0.342973236349992
Shaoguan,0.0212638070326275,0.682186312246328,0.0212638070326275,1.3370851720028
Shenzhen,0.679360502311352,0.446797698933494,0.679360502311352,0.875723489909647
Yunfu,-0.12372507,0.42615762291908,-0.12372507,0.835268940921398
Zhanjiang,-0.348881936,0.190265069760426,-0.348881936,0.372919536730435
