"","CRegion","Hos_Taxo","hhh","rate","Pathogen","number","CRegion1"
"57","Foshan","Bandicota indica","Wenzhou mammarenavirus-Bandicota indica",0,"Wenzhou mammarenavirus",4,"Foshan(4)"
"58","Foshan","Bandicota indica","Angiostrongylus cantonensis-Bandicota indica",0,"Angiostrongylus cantonensis",4,"Foshan(4)"
"59","Foshan","Bandicota indica","Bartonella kosoyi-Bandicota indica",0,"Bartonella kosoyi",4,"Foshan(4)"
"60","Foshan","Bandicota indica","Rat minute virus 2a-Bandicota indica",0,"Rat minute virus 2a",4,"Foshan(4)"
"71","Foshan","Rattus norvegicus","Norway rat pestivirus-Rattus norvegicus",0,"Norway rat pestivirus",10,"Foshan(10)"
"72","Foshan","Rattus norvegicus","Wenzhou mammarenavirus-Rattus norvegicus",20,"Wenzhou mammarenavirus",10,"Foshan(10)"
"73","Foshan","Rattus norvegicus","Rat minute virus 2a-Rattus norvegicus",10,"Rat minute virus 2a",10,"Foshan(10)"
"74","Foshan","Rattus norvegicus","Rat hepatitis E virus-Rattus norvegicus",0,"Rat hepatitis E virus",10,"Foshan(10)"
"75","Foshan","Rattus norvegicus","Pneumocystis carinii-Rattus norvegicus",10,"Pneumocystis carinii",10,"Foshan(10)"
"76","Foshan","Rattus norvegicus","Seoul orthohantavirus-Rattus norvegicus",10,"Seoul orthohantavirus",10,"Foshan(10)"
"77","Foshan","Rattus norvegicus","Rodent astrovirus 3-Rattus norvegicus",20,"Rodent astrovirus 3",10,"Foshan(10)"
"78","Foshan","Rattus norvegicus","Angiostrongylus cantonensis-Rattus norvegicus",0,"Angiostrongylus cantonensis",10,"Foshan(10)"
"79","Foshan","Rattus norvegicus","Bartonella kosoyi-Rattus norvegicus",10,"Bartonella kosoyi",10,"Foshan(10)"
"80","Foshan","Rattus norvegicus","Pneumocystis wakefieldiae-Rattus norvegicus",10,"Pneumocystis wakefieldiae",10,"Foshan(10)"
"111","Heyuan","Rattus losea","Rodent astrovirus 3-Rattus losea",0,"Rodent astrovirus 3",4,"Heyuan(4)"
