land,sp_effect,se,mean,bar
Anpu,-0.0857935,0.19977682649152,-0.0857935,0.39156257992338
Foshan,-0.821606376,0.481462869425522,-0.821606376,0.943667224074023
Heyuan,1.03785258570174,0.876430851385809,1.03785258570174,1.71780446871619
Jieyang,0.0503160337529236,0.696147569734172,0.0503160337529236,1.36444923667898
Maoming,0.0562267869515503,0.342735130990907,0.0562267869515503,0.671760856742177
Shaoguan,1.22716038271593,0.784449500795528,1.22716038271593,1.53752102155924
Shenzhen,-0.760304476,0.746278440767758,-0.760304476,1.46270574390481
Yunfu,-0.696019136,0.690476270183086,-0.696019136,1.35333348955885
Zhanjiang,-0.020243474,0.144251218591934,-0.020243474,0.282732388440191
