"","to","from","Positivate.Rate","xstart","ystart","xend","yend"
"114","Pneumocystis sus","Suncus murinus",0.0375,4.68107409597998,1.36445201187613,6.02033561506264,1.19012402956356
"115","Pneumocystis wakefieldiae","Berylmys bowersi",0.4,3.87141341133166,0.861566949606168,3.10442141830076,2.63594907233533
"116","Pneumocystis wakefieldiae","Bandicota indica",0.148809523809524,3.37188735387076,2.43643339495397,3.10442141830076,2.63594907233533
"117","Pneumocystis wakefieldiae","Rattus losea",0.0128205128205128,4.17993531153186,2.58135731348907,3.10442141830076,2.63594907233533
"118","Pneumocystis wakefieldiae","Rattus norvegicus",0.107843137254902,4.42880293622832,3.5019712698901,3.10442141830076,2.63594907233533
"119","Porcine bocavirus","Rattus tanezumi",0.0573770491803279,5.06803577009438,2.83876803280015,3.6,0.8
"120","Porcine bocavirus","Rattus losea",0.0769230769230769,4.17993531153186,2.58135731348907,3.6,0.8
"121","Porcine bocavirus","Rattus norvegicus",0.0245098039215686,4.42880293622832,3.5019712698901,3.6,0.8
"122","Porcine bocavirus","Rattus andamanensis",0.0416666666666667,3.83401088335383,1.96919323733902,3.6,0.8
"123","Porcine bocavirus","Bandicota indica",0.0654761904761905,3.37188735387076,2.43643339495397,3.6,0.8
"124","Porcine bocavirus","Suncus murinus",0.025,4.68107409597998,1.36445201187613,3.6,0.8
"125","Porcine bocavirus","Berylmys bowersi",0.2,3.87141341133166,0.861566949606168,3.6,0.8
"126","Rabovirus A","Rattus losea",0.0128205128205128,4.17993531153186,2.58135731348907,3.18468537070459,3.44190597688727
"127","Rabovirus A","Bandicota indica",0.0119047619047619,3.37188735387076,2.43643339495397,3.18468537070459,3.44190597688727
"128","Rabovirus A","Rattus norvegicus",0.00490196078431373,4.42880293622832,3.5019712698901,3.18468537070459,3.44190597688727
"129","Raillietina sp","Rattus norvegicus",0.00490196078431373,4.42880293622832,3.5019712698901,5.01127229860384,4.20523698211726
"130","Raillietina sp","Rattus tanezumi",0.00819672131147541,5.06803577009438,2.83876803280015,5.01127229860384,4.20523698211726
"131","Rat hepatitis E virus","Bandicota indica",0.261904761904762,3.37188735387076,2.43643339495397,3.7676168363264,1.74810775847538
"132","Rat hepatitis E virus","Berylmys bowersi",0.2,3.87141341133166,0.861566949606168,3.7676168363264,1.74810775847538
"133","Rat hepatitis E virus","Rattus losea",0.0384615384615385,4.17993531153186,2.58135731348907,3.7676168363264,1.74810775847538
"134","Rat hepatitis E virus","Rattus tanezumi",0.0245901639344262,5.06803577009438,2.83876803280015,3.7676168363264,1.74810775847538
"135","Rat minute virus 2a","Rattus norvegicus",0.230392156862745,4.42880293622832,3.5019712698901,2,2.4
"136","Rat minute virus 2a","Rattus losea",0.153846153846154,4.17993531153186,2.58135731348907,2,2.4
"137","Rat minute virus 2a","Berylmys bowersi",0.2,3.87141341133166,0.861566949606168,2,2.4
"138","Rat minute virus 2a","Rattus andamanensis",0.458333333333333,3.83401088335383,1.96919323733902,2,2.4
"139","Rat minute virus 2a","Bandicota indica",0.255952380952381,3.37188735387076,2.43643339495397,2,2.4
"140","Rat minute virus 2a","Rattus tanezumi",0.10655737704918,5.06803577009438,2.83876803280015,2,2.4
"141","Rat minute virus 2a","Mus caroli",0.636363636363636,4.41689170070325,0.570287895843565,2,2.4
"142","Rat minute virus 2a","Suncus murinus",0.0125,4.68107409597998,1.36445201187613,2,2.4
"143","Rat parvovirus 1","Rattus losea",0.0128205128205128,4.17993531153186,2.58135731348907,4.17040255277542,4.48774475079316
